ID,Question,Sample,Classification
0,,the Goat eats Beet,animalEatsVegetable
1,,the Beet eats Goat,vegetableEatsAnimal
2,,the Bear eats Cabbage,animalEatsVegetable
3,,the Cabbage eats Bear,vegetableEatsAnimal
4,,the Ferret eats Cauliflower,animalEatsVegetable
5,,the Cauliflower eats Ferret,vegetableEatsAnimal
6,,the Kangaroo eats Spinach,animalEatsVegetable
7,,the Spinach eats Kangaroo,vegetableEatsAnimal
8,,the Tiger eats Broccoli,animalEatsVegetable
9,,the Broccoli eats Tiger,vegetableEatsAnimal
10,,the Deer eats Asparagus,animalEatsVegetable
11,,the Asparagus eats Deer,vegetableEatsAnimal
12,,the Boar eats Broccoli,animalEatsVegetable
13,,the Broccoli eats Boar,vegetableEatsAnimal
14,,the Rabbit eats Turnip,animalEatsVegetable
15,,the Turnip eats Rabbit,vegetableEatsAnimal
16,,the Fox eats Turnip,animalEatsVegetable
17,,the Turnip eats Fox,vegetableEatsAnimal
18,,the Tiger eats Spinach,animalEatsVegetable
19,,the Spinach eats Tiger,vegetableEatsAnimal
20,,the Hare eats Asparagus,animalEatsVegetable
21,,the Asparagus eats Hare,vegetableEatsAnimal
22,,the Antelope eats Onion,animalEatsVegetable
23,,the Onion eats Antelope,vegetableEatsAnimal
24,,the Chicken eats Cucumber,animalEatsVegetable
25,,the Cucumber eats Chicken,vegetableEatsAnimal
26,,the Squirrel eats Wheatgrass,animalEatsVegetable
27,,the Wheatgrass eats Squirrel,vegetableEatsAnimal
28,,the Fox eats Cauliflower,animalEatsVegetable
29,,the Cauliflower eats Fox,vegetableEatsAnimal
30,,the Hamster eats Beet,animalEatsVegetable
31,,the Beet eats Hamster,vegetableEatsAnimal
32,,the Antelope eats Pumpkin,animalEatsVegetable
33,,the Pumpkin eats Antelope,vegetableEatsAnimal
34,,the Hare eats Zucchini,animalEatsVegetable
35,,the Zucchini eats Hare,vegetableEatsAnimal
36,,the Elk eats Basil,animalEatsVegetable
37,,the Basil eats Elk,vegetableEatsAnimal
38,,the Elk eats Pepper,animalEatsVegetable
39,,the Pepper eats Elk,vegetableEatsAnimal
40,,the Boar eats Tomato,animalEatsVegetable
41,,the Tomato eats Boar,vegetableEatsAnimal
42,,the Cow eats Wheatgrass,animalEatsVegetable
43,,the Wheatgrass eats Cow,vegetableEatsAnimal
44,,the Squirrel eats Radish,animalEatsVegetable
45,,the Radish eats Squirrel,vegetableEatsAnimal
46,,the Ape eats Celery,animalEatsVegetable
47,,the Celery eats Ape,vegetableEatsAnimal
48,,the Elephant eats Tomato,animalEatsVegetable
49,,the Tomato eats Elephant,vegetableEatsAnimal
50,,the Giraffe eats Potato,animalEatsVegetable
51,,the Potato eats Giraffe,vegetableEatsAnimal
52,,the Chicken eats Tomato,animalEatsVegetable
53,,the Tomato eats Chicken,vegetableEatsAnimal
54,,the Tiger eats Turnip,animalEatsVegetable
55,,the Turnip eats Tiger,vegetableEatsAnimal
56,,the Elephant eats Pepper,animalEatsVegetable
57,,the Pepper eats Elephant,vegetableEatsAnimal
58,,the Kangaroo eats Lettuce,animalEatsVegetable
59,,the Lettuce eats Kangaroo,vegetableEatsAnimal
60,,the Pig eats Potato,animalEatsVegetable
61,,the Potato eats Pig,vegetableEatsAnimal
62,,the Monkey eats Radish,animalEatsVegetable
63,,the Radish eats Monkey,vegetableEatsAnimal
64,,the Elk eats Asparagus,animalEatsVegetable
65,,the Asparagus eats Elk,vegetableEatsAnimal
66,,the Chicken eats Lettuce,animalEatsVegetable
67,,the Lettuce eats Chicken,vegetableEatsAnimal
68,,the Giraffe eats Mushroom,animalEatsVegetable
69,,the Mushroom eats Giraffe,vegetableEatsAnimal
70,,the Lion eats Pea,animalEatsVegetable
71,,the Pea eats Lion,vegetableEatsAnimal
72,,the Cow eats Radish,animalEatsVegetable
73,,the Radish eats Cow,vegetableEatsAnimal
74,,the Buffalo eats Potato,animalEatsVegetable
75,,the Potato eats Buffalo,vegetableEatsAnimal
76,,the Boar eats Daikon,animalEatsVegetable
77,,the Daikon eats Boar,vegetableEatsAnimal
78,,the Giraffe eats Turnip,animalEatsVegetable
79,,the Turnip eats Giraffe,vegetableEatsAnimal
80,,the Mule eats Lettuce,animalEatsVegetable
81,,the Lettuce eats Mule,vegetableEatsAnimal
82,,the Bear eats Kale,animalEatsVegetable
83,,the Kale eats Bear,vegetableEatsAnimal
84,,the Rabbit eats Artichoke,animalEatsVegetable
85,,the Artichoke eats Rabbit,vegetableEatsAnimal
86,,the Turkey eats Pumpkin,animalEatsVegetable
87,,the Pumpkin eats Turkey,vegetableEatsAnimal
88,,the Hare eats Cucumber,animalEatsVegetable
89,,the Cucumber eats Hare,vegetableEatsAnimal
90,,the Ferret eats Radish,animalEatsVegetable
91,,the Radish eats Ferret,vegetableEatsAnimal
92,,the Hare eats Artichoke,animalEatsVegetable
93,,the Artichoke eats Hare,vegetableEatsAnimal
94,,the Camel eats Celery,animalEatsVegetable
95,,the Celery eats Camel,vegetableEatsAnimal
96,,the Goose eats Cabbage,animalEatsVegetable
97,,the Cabbage eats Goose,vegetableEatsAnimal
98,,the Bison eats Turnip,animalEatsVegetable
99,,the Turnip eats Bison,vegetableEatsAnimal
100,,the Antelope eats Lettuce,animalEatsVegetable
101,,the Lettuce eats Antelope,vegetableEatsAnimal
102,,the Boar eats Carrot,animalEatsVegetable
103,,the Carrot eats Boar,vegetableEatsAnimal
104,,the Buffalo eats Mushroom,animalEatsVegetable
105,,the Mushroom eats Buffalo,vegetableEatsAnimal
106,,the Horse eats Asparagus,animalEatsVegetable
107,,the Asparagus eats Horse,vegetableEatsAnimal
108,,the Lion eats Potato,animalEatsVegetable
109,,the Potato eats Lion,vegetableEatsAnimal
110,,the Monkey eats Tomato,animalEatsVegetable
111,,the Tomato eats Monkey,vegetableEatsAnimal
112,,the Lion eats Artichoke,animalEatsVegetable
113,,the Artichoke eats Lion,vegetableEatsAnimal
114,,the Bear eats Eggplant,animalEatsVegetable
115,,the Eggplant eats Bear,vegetableEatsAnimal
116,,the Donkey eats Carrot,animalEatsVegetable
117,,the Carrot eats Donkey,vegetableEatsAnimal
118,,the Sheep eats Onion,animalEatsVegetable
119,,the Onion eats Sheep,vegetableEatsAnimal
120,,the Goat eats Cabbage,animalEatsVegetable
121,,the Cabbage eats Goat,vegetableEatsAnimal
122,,the Buffalo eats Broccoli,animalEatsVegetable
123,,the Broccoli eats Buffalo,vegetableEatsAnimal
124,,the Camel eats Pumpkin,animalEatsVegetable
125,,the Pumpkin eats Camel,vegetableEatsAnimal
126,,the Antelope eats Artichoke,animalEatsVegetable
127,,the Artichoke eats Antelope,vegetableEatsAnimal
128,,the Donkey eats Onion,animalEatsVegetable
129,,the Onion eats Donkey,vegetableEatsAnimal
130,,the Rabbit eats Basil,animalEatsVegetable
131,,the Basil eats Rabbit,vegetableEatsAnimal
132,,the Dog eats Broccoli,animalEatsVegetable
133,,the Broccoli eats Dog,vegetableEatsAnimal
134,,the Horse eats Basil,animalEatsVegetable
135,,the Basil eats Horse,vegetableEatsAnimal
136,,the Hare eats Pea,animalEatsVegetable
137,,the Pea eats Hare,vegetableEatsAnimal
138,,the Chicken eats Artichoke,animalEatsVegetable
139,,the Artichoke eats Chicken,vegetableEatsAnimal
140,,the Goose eats Artichoke,animalEatsVegetable
141,,the Artichoke eats Goose,vegetableEatsAnimal
142,,the Horse eats Artichoke,animalEatsVegetable
143,,the Artichoke eats Horse,vegetableEatsAnimal
144,,the Hamster eats Wheatgrass,animalEatsVegetable
145,,the Wheatgrass eats Hamster,vegetableEatsAnimal
146,,the Monkey eats Daikon,animalEatsVegetable
147,,the Daikon eats Monkey,vegetableEatsAnimal
148,,the Bison eats Eggplant,animalEatsVegetable
149,,the Eggplant eats Bison,vegetableEatsAnimal
150,,the Ferret eats Kale,animalEatsVegetable
151,,the Kale eats Ferret,vegetableEatsAnimal
152,,the Pig eats Onion,animalEatsVegetable
153,,the Onion eats Pig,vegetableEatsAnimal
154,,the Hare eats Spinach,animalEatsVegetable
155,,the Spinach eats Hare,vegetableEatsAnimal
156,,the Goose eats Pea,animalEatsVegetable
157,,the Pea eats Goose,vegetableEatsAnimal
158,,the Deer eats Zucchini,animalEatsVegetable
159,,the Zucchini eats Deer,vegetableEatsAnimal
160,,the Giraffe eats Kale,animalEatsVegetable
161,,the Kale eats Giraffe,vegetableEatsAnimal
162,,the Donkey eats Potato,animalEatsVegetable
163,,the Potato eats Donkey,vegetableEatsAnimal
164,,the Buffalo eats Turnip,animalEatsVegetable
165,,the Turnip eats Buffalo,vegetableEatsAnimal
166,,the Ferret eats Mushroom,animalEatsVegetable
167,,the Mushroom eats Ferret,vegetableEatsAnimal
168,,the Dog eats Mushroom,animalEatsVegetable
169,,the Mushroom eats Dog,vegetableEatsAnimal
170,,the Monkey eats Turnip,animalEatsVegetable
171,,the Turnip eats Monkey,vegetableEatsAnimal
172,,the Goat eats Basil,animalEatsVegetable
173,,the Basil eats Goat,vegetableEatsAnimal
174,,the Tiger eats Beet,animalEatsVegetable
175,,the Beet eats Tiger,vegetableEatsAnimal
176,,the Buffalo eats Beet,animalEatsVegetable
177,,the Beet eats Buffalo,vegetableEatsAnimal
178,,the Squirrel eats Zucchini,animalEatsVegetable
179,,the Zucchini eats Squirrel,vegetableEatsAnimal
180,,the Tiger eats Carrot,animalEatsVegetable
181,,the Carrot eats Tiger,vegetableEatsAnimal
182,,the Pig eats Zucchini,animalEatsVegetable
183,,the Zucchini eats Pig,vegetableEatsAnimal
184,,the Boar eats Pepper,animalEatsVegetable
185,,the Pepper eats Boar,vegetableEatsAnimal
186,,the Turkey eats Zucchini,animalEatsVegetable
187,,the Zucchini eats Turkey,vegetableEatsAnimal
188,,the Tiger eats Cucumber,animalEatsVegetable
189,,the Cucumber eats Tiger,vegetableEatsAnimal
190,,the Tiger eats Wheatgrass,animalEatsVegetable
191,,the Wheatgrass eats Tiger,vegetableEatsAnimal
192,,the Cow eats Tomato,animalEatsVegetable
193,,the Tomato eats Cow,vegetableEatsAnimal
194,,the Ferret eats Celery,animalEatsVegetable
195,,the Celery eats Ferret,vegetableEatsAnimal
196,,the Hamster eats Eggplant,animalEatsVegetable
197,,the Eggplant eats Hamster,vegetableEatsAnimal
198,,the Dog eats Radish,animalEatsVegetable
199,,the Radish eats Dog,vegetableEatsAnimal
200,,the Hare eats Pumpkin,animalEatsVegetable
201,,the Pumpkin eats Hare,vegetableEatsAnimal
202,,the Hamster eats Artichoke,animalEatsVegetable
203,,the Artichoke eats Hamster,vegetableEatsAnimal
204,,the Fox eats Celery,animalEatsVegetable
205,,the Celery eats Fox,vegetableEatsAnimal
206,,the Buffalo eats Pepper,animalEatsVegetable
207,,the Pepper eats Buffalo,vegetableEatsAnimal
208,,the Dog eats Basil,animalEatsVegetable
209,,the Basil eats Dog,vegetableEatsAnimal
210,,the Pig eats Asparagus,animalEatsVegetable
211,,the Asparagus eats Pig,vegetableEatsAnimal
212,,the Horse eats Lettuce,animalEatsVegetable
213,,the Lettuce eats Horse,vegetableEatsAnimal
214,,the Giraffe eats Onion,animalEatsVegetable
215,,the Onion eats Giraffe,vegetableEatsAnimal
216,,the Pig eats Turnip,animalEatsVegetable
217,,the Turnip eats Pig,vegetableEatsAnimal
218,,the Kangaroo eats Cauliflower,animalEatsVegetable
219,,the Cauliflower eats Kangaroo,vegetableEatsAnimal
220,,the Sheep eats Basil,animalEatsVegetable
221,,the Basil eats Sheep,vegetableEatsAnimal
222,,the Buffalo eats Daikon,animalEatsVegetable
223,,the Daikon eats Buffalo,vegetableEatsAnimal
224,,the Turkey eats Broccoli,animalEatsVegetable
225,,the Broccoli eats Turkey,vegetableEatsAnimal
226,,the Goose eats Potato,animalEatsVegetable
227,,the Potato eats Goose,vegetableEatsAnimal
228,,the Gazelle eats Mushroom,animalEatsVegetable
229,,the Mushroom eats Gazelle,vegetableEatsAnimal
230,,the Kangaroo eats Basil,animalEatsVegetable
231,,the Basil eats Kangaroo,vegetableEatsAnimal
232,,the Antelope eats Beet,animalEatsVegetable
233,,the Beet eats Antelope,vegetableEatsAnimal
234,,the Ape eats Cauliflower,animalEatsVegetable
235,,the Cauliflower eats Ape,vegetableEatsAnimal
236,,the Rabbit eats Celery,animalEatsVegetable
237,,the Celery eats Rabbit,vegetableEatsAnimal
238,,the Turkey eats Cauliflower,animalEatsVegetable
239,,the Cauliflower eats Turkey,vegetableEatsAnimal
240,,the Antelope eats Wheatgrass,animalEatsVegetable
241,,the Wheatgrass eats Antelope,vegetableEatsAnimal
242,,the Chicken eats Daikon,animalEatsVegetable
243,,the Daikon eats Chicken,vegetableEatsAnimal
244,,the Dog eats Celery,animalEatsVegetable
245,,the Celery eats Dog,vegetableEatsAnimal
246,,the Chicken eats Zucchini,animalEatsVegetable
247,,the Zucchini eats Chicken,vegetableEatsAnimal
248,,the Mule eats Radish,animalEatsVegetable
249,,the Radish eats Mule,vegetableEatsAnimal
250,,the Mule eats Cauliflower,animalEatsVegetable
251,,the Cauliflower eats Mule,vegetableEatsAnimal
252,,the Horse eats Broccoli,animalEatsVegetable
253,,the Broccoli eats Horse,vegetableEatsAnimal
254,,the Horse eats Pea,animalEatsVegetable
255,,the Pea eats Horse,vegetableEatsAnimal
256,,the Cow eats Artichoke,animalEatsVegetable
257,,the Artichoke eats Cow,vegetableEatsAnimal
258,,the Gazelle eats Pumpkin,animalEatsVegetable
259,,the Pumpkin eats Gazelle,vegetableEatsAnimal
260,,the Dog eats Beet,animalEatsVegetable
261,,the Beet eats Dog,vegetableEatsAnimal
262,,the Bear eats Onion,animalEatsVegetable
263,,the Onion eats Bear,vegetableEatsAnimal
264,,the Giraffe eats Cabbage,animalEatsVegetable
265,,the Cabbage eats Giraffe,vegetableEatsAnimal
266,,the Lion eats Mushroom,animalEatsVegetable
267,,the Mushroom eats Lion,vegetableEatsAnimal
268,,the Bear eats Cucumber,animalEatsVegetable
269,,the Cucumber eats Bear,vegetableEatsAnimal
270,,the Gazelle eats Spinach,animalEatsVegetable
271,,the Spinach eats Gazelle,vegetableEatsAnimal
272,,the Rabbit eats Cabbage,animalEatsVegetable
273,,the Cabbage eats Rabbit,vegetableEatsAnimal
274,,the Ape eats Pepper,animalEatsVegetable
275,,the Pepper eats Ape,vegetableEatsAnimal
276,,the Mule eats Pepper,animalEatsVegetable
277,,the Pepper eats Mule,vegetableEatsAnimal
278,,the Fox eats Asparagus,animalEatsVegetable
279,,the Asparagus eats Fox,vegetableEatsAnimal
280,,the Boar eats Cauliflower,animalEatsVegetable
281,,the Cauliflower eats Boar,vegetableEatsAnimal
282,,the Giraffe eats Eggplant,animalEatsVegetable
283,,the Eggplant eats Giraffe,vegetableEatsAnimal
284,,the Elk eats Celery,animalEatsVegetable
285,,the Celery eats Elk,vegetableEatsAnimal
286,,the Camel eats Cabbage,animalEatsVegetable
287,,the Cabbage eats Camel,vegetableEatsAnimal
288,,the Kangaroo eats Asparagus,animalEatsVegetable
289,,the Asparagus eats Kangaroo,vegetableEatsAnimal
290,,the Tiger eats Tomato,animalEatsVegetable
291,,the Tomato eats Tiger,vegetableEatsAnimal
292,,the Cat eats Pea,animalEatsVegetable
293,,the Pea eats Cat,vegetableEatsAnimal
294,,the Goose eats Kale,animalEatsVegetable
295,,the Kale eats Goose,vegetableEatsAnimal
296,,the Sheep eats Asparagus,animalEatsVegetable
297,,the Asparagus eats Sheep,vegetableEatsAnimal
298,,the Ape eats Broccoli,animalEatsVegetable
299,,the Broccoli eats Ape,vegetableEatsAnimal
300,,the Cat eats Spinach,animalEatsVegetable
301,,the Spinach eats Cat,vegetableEatsAnimal
302,,the Hamster eats Kale,animalEatsVegetable
303,,the Kale eats Hamster,vegetableEatsAnimal
304,,the Goat eats Mushroom,animalEatsVegetable
305,,the Mushroom eats Goat,vegetableEatsAnimal
306,,the Cat eats Tomato,animalEatsVegetable
307,,the Tomato eats Cat,vegetableEatsAnimal
308,,the Elephant eats Turnip,animalEatsVegetable
309,,the Turnip eats Elephant,vegetableEatsAnimal
310,,the Giraffe eats Daikon,animalEatsVegetable
311,,the Daikon eats Giraffe,vegetableEatsAnimal
312,,the Giraffe eats Zucchini,animalEatsVegetable
313,,the Zucchini eats Giraffe,vegetableEatsAnimal
314,,the Buffalo eats Cucumber,animalEatsVegetable
315,,the Cucumber eats Buffalo,vegetableEatsAnimal
316,,the Turkey eats Turnip,animalEatsVegetable
317,,the Turnip eats Turkey,vegetableEatsAnimal
318,,the Dog eats Turnip,animalEatsVegetable
319,,the Turnip eats Dog,vegetableEatsAnimal
320,,the Lion eats Broccoli,animalEatsVegetable
321,,the Broccoli eats Lion,vegetableEatsAnimal
322,,the Turkey eats Onion,animalEatsVegetable
323,,the Onion eats Turkey,vegetableEatsAnimal
324,,the Bison eats Wheatgrass,animalEatsVegetable
325,,the Wheatgrass eats Bison,vegetableEatsAnimal
326,,the Antelope eats Cucumber,animalEatsVegetable
327,,the Cucumber eats Antelope,vegetableEatsAnimal
328,,the Antelope eats Zucchini,animalEatsVegetable
329,,the Zucchini eats Antelope,vegetableEatsAnimal
330,,the Deer eats Beet,animalEatsVegetable
331,,the Beet eats Deer,vegetableEatsAnimal
332,,the Hamster eats Zucchini,animalEatsVegetable
333,,the Zucchini eats Hamster,vegetableEatsAnimal
334,,the Kangaroo eats Broccoli,animalEatsVegetable
335,,the Broccoli eats Kangaroo,vegetableEatsAnimal
336,,the Goat eats Radish,animalEatsVegetable
337,,the Radish eats Goat,vegetableEatsAnimal
338,,the Dog eats Eggplant,animalEatsVegetable
339,,the Eggplant eats Dog,vegetableEatsAnimal
340,,the Gazelle eats Pea,animalEatsVegetable
341,,the Pea eats Gazelle,vegetableEatsAnimal
342,,the Turkey eats Lettuce,animalEatsVegetable
343,,the Lettuce eats Turkey,vegetableEatsAnimal
344,,the Boar eats Cucumber,animalEatsVegetable
345,,the Cucumber eats Boar,vegetableEatsAnimal
346,,the Bison eats Kale,animalEatsVegetable
347,,the Kale eats Bison,vegetableEatsAnimal
348,,the Cow eats Celery,animalEatsVegetable
349,,the Celery eats Cow,vegetableEatsAnimal
350,,the Goose eats Wheatgrass,animalEatsVegetable
351,,the Wheatgrass eats Goose,vegetableEatsAnimal
352,,the Ferret eats Wheatgrass,animalEatsVegetable
353,,the Wheatgrass eats Ferret,vegetableEatsAnimal
354,,the Donkey eats Cauliflower,animalEatsVegetable
355,,the Cauliflower eats Donkey,vegetableEatsAnimal
356,,the Zebra eats Carrot,animalEatsVegetable
357,,the Carrot eats Zebra,vegetableEatsAnimal
358,,the Zebra eats Broccoli,animalEatsVegetable
359,,the Broccoli eats Zebra,vegetableEatsAnimal
360,,the Bear eats Tomato,animalEatsVegetable
361,,the Tomato eats Bear,vegetableEatsAnimal
362,,the Kangaroo eats Beet,animalEatsVegetable
363,,the Beet eats Kangaroo,vegetableEatsAnimal
364,,the Goose eats Tomato,animalEatsVegetable
365,,the Tomato eats Goose,vegetableEatsAnimal
366,,the Goose eats Pepper,animalEatsVegetable
367,,the Pepper eats Goose,vegetableEatsAnimal
368,,the Hamster eats Celery,animalEatsVegetable
369,,the Celery eats Hamster,vegetableEatsAnimal
370,,the Squirrel eats Lettuce,animalEatsVegetable
371,,the Lettuce eats Squirrel,vegetableEatsAnimal
372,,the Lion eats Pumpkin,animalEatsVegetable
373,,the Pumpkin eats Lion,vegetableEatsAnimal
374,,the Bear eats Pea,animalEatsVegetable
375,,the Pea eats Bear,vegetableEatsAnimal
376,,the Kangaroo eats Potato,animalEatsVegetable
377,,the Potato eats Kangaroo,vegetableEatsAnimal
378,,the Pig eats Beet,animalEatsVegetable
379,,the Beet eats Pig,vegetableEatsAnimal
380,,the Elk eats Lettuce,animalEatsVegetable
381,,the Lettuce eats Elk,vegetableEatsAnimal
382,,the Boar eats Celery,animalEatsVegetable
383,,the Celery eats Boar,vegetableEatsAnimal
384,,the Hare eats Carrot,animalEatsVegetable
385,,the Carrot eats Hare,vegetableEatsAnimal
386,,the Goose eats Pumpkin,animalEatsVegetable
387,,the Pumpkin eats Goose,vegetableEatsAnimal
388,,the Horse eats Eggplant,animalEatsVegetable
389,,the Eggplant eats Horse,vegetableEatsAnimal
390,,the Bison eats Onion,animalEatsVegetable
391,,the Onion eats Bison,vegetableEatsAnimal
392,,the Turkey eats Artichoke,animalEatsVegetable
393,,the Artichoke eats Turkey,vegetableEatsAnimal
394,,the Giraffe eats Asparagus,animalEatsVegetable
395,,the Asparagus eats Giraffe,vegetableEatsAnimal
396,,the Ferret eats Daikon,animalEatsVegetable
397,,the Daikon eats Ferret,vegetableEatsAnimal
398,,the Ferret eats Cabbage,animalEatsVegetable
399,,the Cabbage eats Ferret,vegetableEatsAnimal
400,,the Horse eats Zucchini,animalEatsVegetable
401,,the Zucchini eats Horse,vegetableEatsAnimal
402,,the Squirrel eats Carrot,animalEatsVegetable
403,,the Carrot eats Squirrel,vegetableEatsAnimal
404,,the Tiger eats Cabbage,animalEatsVegetable
405,,the Cabbage eats Tiger,vegetableEatsAnimal
406,,the Mule eats Beet,animalEatsVegetable
407,,the Beet eats Mule,vegetableEatsAnimal
408,,the Goat eats Cauliflower,animalEatsVegetable
409,,the Cauliflower eats Goat,vegetableEatsAnimal
410,,the Monkey eats Celery,animalEatsVegetable
411,,the Celery eats Monkey,vegetableEatsAnimal
412,,the Squirrel eats Kale,animalEatsVegetable
413,,the Kale eats Squirrel,vegetableEatsAnimal
414,,the Hamster eats Pumpkin,animalEatsVegetable
415,,the Pumpkin eats Hamster,vegetableEatsAnimal
416,,the Rabbit eats Spinach,animalEatsVegetable
417,,the Spinach eats Rabbit,vegetableEatsAnimal
418,,the Zebra eats Cauliflower,animalEatsVegetable
419,,the Cauliflower eats Zebra,vegetableEatsAnimal
420,,the Antelope eats Pepper,animalEatsVegetable
421,,the Pepper eats Antelope,vegetableEatsAnimal
422,,the Mule eats Eggplant,animalEatsVegetable
423,,the Eggplant eats Mule,vegetableEatsAnimal
424,,the Ape eats Mushroom,animalEatsVegetable
425,,the Mushroom eats Ape,vegetableEatsAnimal
426,,the Camel eats Broccoli,animalEatsVegetable
427,,the Broccoli eats Camel,vegetableEatsAnimal
428,,the Elephant eats Radish,animalEatsVegetable
429,,the Radish eats Elephant,vegetableEatsAnimal
430,,the Camel eats Cauliflower,animalEatsVegetable
431,,the Cauliflower eats Camel,vegetableEatsAnimal
432,,the Turkey eats Pepper,animalEatsVegetable
433,,the Pepper eats Turkey,vegetableEatsAnimal
434,,the Ape eats Zucchini,animalEatsVegetable
435,,the Zucchini eats Ape,vegetableEatsAnimal
436,,the Hamster eats Pea,animalEatsVegetable
437,,the Pea eats Hamster,vegetableEatsAnimal
438,,the Dog eats Artichoke,animalEatsVegetable
439,,the Artichoke eats Dog,vegetableEatsAnimal
440,,the Donkey eats Lettuce,animalEatsVegetable
441,,the Lettuce eats Donkey,vegetableEatsAnimal
442,,the Cat eats Basil,animalEatsVegetable
443,,the Basil eats Cat,vegetableEatsAnimal
444,,the Zebra eats Turnip,animalEatsVegetable
445,,the Turnip eats Zebra,vegetableEatsAnimal
446,,the Boar eats Potato,animalEatsVegetable
447,,the Potato eats Boar,vegetableEatsAnimal
448,,the Bison eats Celery,animalEatsVegetable
449,,the Celery eats Bison,vegetableEatsAnimal
