QID,QuestionText,Response,Classification
1,2. What change(s) would you like to see at the office?,Get rid of the trrible odor in the kitchen. It smells alot when we bring in lunch. Air freshners would help. Not candles though.,kitchen
2,2. What change(s) would you like to see at the office?,I don't care,not helpful
3,2. What change(s) would you like to see at the office?,WFH everyday!!!,work/life balance
4,2. What change(s) would you like to see at the office?,nothing,positive
5,2. What change(s) would you like to see at the office?,"blah blah, like anyone will read this anyway",not helpful
6,2. What change(s) would you like to see at the office?,"Sugestions/vote box. Could be used for (i) Wednesday lunch, (ii) office improvements, (iii) game/movie night requests, etc...",tools
7,2. What change(s) would you like to see at the office?,Better snacks!,food
8,2. What change(s) would you like to see at the office?,"stay golden, pony boy",not helpful
9,2. What change(s) would you like to see at the office?,"once-a-week show at lunch -- i.e. lecture, tv show, documentary, etc.",entertainment
10,2. What change(s) would you like to see at the office?,"more video games, board games",entertainment
11,2. What change(s) would you like to see at the office?,"love teh office, I wouldn't change a thing!",positive
12,2. What change(s) would you like to see at the office?,Better/more HEALTHY snacks. Otherwise the office is perfect.,food
13,2. What change(s) would you like to see at the office?,I can't think of a better workplace environment!,positive
14,2. What change(s) would you like to see at the office?,"[identifier deleted] gives each employee $10,000 to decorate their workspace… just sayin!",decor
15,2. What change(s) would you like to see at the office?,"they've moved my desk four times already this year, and I used to be over by the window, and I could see the squirrels, and they were merry, but then, they switched from the Swingline to the Boston stapler, but I kept my Swingline stapler because it didn't bind up as much, and I kept the staples for the Swingline stapler and it's not okay because if they take my stapler then I'll set the building on fire... ",not helpful
16,2. What change(s) would you like to see at the office?,I wouldn't say no to trying tellpresience robots…,tech
17,2. What change(s) would you like to see at the office?,The projector is misaligned and it BUGS the hell out of me. It was embarassing in the [identifier deleted] meeting when [identifier deleted] pinted it out!,tech
18,2. What change(s) would you like to see at the office?,"The office is great, don't change anything. We should do more offsite activities though. Like a Giants game!",work/life balance
19,2. What change(s) would you like to see at the office?,"Showers. A lot of us bike to/from work and wouldn't mind cleaning up. We could also workout before work, or even at lunchtime if we want to.",sanitation
20,2. What change(s) would you like to see at the office?,I wish to work in a unicorn-free environment,not helpful
21,2. What change(s) would you like to see at the office?,* snack-suggestion box  * bar * better/more beer,food
22,2. What change(s) would you like to see at the office?,Move the office to SF :),not helpful
23,2. What change(s) would you like to see at the office?,The Keurig is no good. We should have an arrngment with [identifier deleted] for discounts. Or at least we could have meetings at [identifier deleted].,food
24,2. What change(s) would you like to see at the office?,1) fresher fruit  2) actual coffee  3) almond milk,food
25,2. What change(s) would you like to see at the office?,I want to sit down druing stand up.,not helpful
26,2. What change(s) would you like to see at the office?,"Sonos speakers, then a few of us could play some music and work together in a conference room. Otherwise all is well!",entertainment
27,2. What change(s) would you like to see at the office?,1) personal whiteboards at each desk 2) webcams in the confrnce rooms,tools
28,2. What change(s) would you like to see at the office?,Retrofit a conference room for a nap room,productivity
29,2. What change(s) would you like to see at the office?,"lecture series; guest lectures, videos, or we give them oursleves",productivity
30,2. What change(s) would you like to see at the office?,chairs could be better,furniture
31,2. What change(s) would you like to see at the office?,"I love the office, wouldn't want to work anywere else",positive
32,2. What change(s) would you like to see at the office?,"1- healthier snacks, 2- bring in dinner when working late, 3- allow for lunchtime workout; and maybe a gym membership at [identifier deleted] down the street?",work/life balance
33,2. What change(s) would you like to see at the office?,fewer surveys,not helpful
34,2. What change(s) would you like to see at the office?,"drones, video games, book club",entertainment
35,2. What change(s) would you like to see at the office?,"Supplies and tech are phenomnal, food is great, kitchen and bathrooms clean... I wouldnt change anyting.",positive