,FileName,useTimeOfDay,useDayOfWeek,scoreWithValue,scoreWithTimeOfDay,scoreWithDayOfWeek,FPWithValue,FPWithTimeOfDay,TPWithValue,TPWithTimeOfDay
0,artificialNoAnomaly/art_daily_no_noise.csv,True,False,0.0,0.0,0.0,0,0,0,0
1,artificialNoAnomaly/art_daily_perfect_square_wave.csv,True,False,0.0,0.0,0.0,0,0,0,0
2,artificialNoAnomaly/art_daily_small_noise.csv,True,False,0.0,0.0,0.0,0,0,0,0
3,artificialNoAnomaly/art_flatline.csv,False,False,0.0,0.0,0.0,0,0,0,0
4,artificialNoAnomaly/art_noisy.csv,False,False,0.0,0.0,0.0,0,0,0,0
5,artificialWithAnomaly/art_daily_flatmiddle.csv,True,False,-1.0,0.8295061241600001,-1.0,0,0,0,1
6,artificialWithAnomaly/art_daily_jumpsdown.csv,True,False,0.788283352174,0.816350521562,-1.0,0,0,1,1
7,artificialWithAnomaly/art_daily_jumpsup.csv,True,False,0.83013617941,0.83013617941,-1.0,0,0,1,2
8,artificialWithAnomaly/art_daily_nojump.csv,True,False,-1.0,-1.0,-1.0,0,0,0,0
9,artificialWithAnomaly/art_increase_spike_density.csv,False,False,0.966847724978,0.42067182427,-1.0,0,4,4,1
10,artificialWithAnomaly/art_load_balancer_spikes.csv,False,False,0.7796261376960001,0.620093732672,0.664128226878,1,4,4,6
11,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,False,False,1.60603136566,1.27603136566,-2.33,1,4,3,2
12,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,True,False,-0.293437210314,1.5186923426199999,-2.22,1,1,2,4
13,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,False,False,0.899675250864,-0.600534303355,-2.0,0,0,2,1
14,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,True,False,0.873281348898,0.820132231732,-1.11,2,3,2,6
15,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,False,False,0.951468893063,0.600741479326,0.537747244682,0,0,2,1
16,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,False,False,-1.0,-1.0,-1.0,0,0,0,0
17,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,False,False,-0.33,-0.55,-0.11,3,5,0,0
18,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,True,False,0.614644009576,0.7233375486929999,0.49439369720299997,1,0,2,2
19,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,True,False,0.8903643853290001,0.7046456726620001,0.7803643853290001,0,2,2,2
20,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,True,False,0.551547242747,0.661131181228,-1.41957577576,2,1,6,4
21,realAWSCloudwatch/ec2_network_in_257a54.csv,True,False,0.8571268814499999,0.855326299622,0.669489070739,0,0,1,1
22,realAWSCloudwatch/ec2_network_in_5abac7.csv,True,False,1.3185732763,-0.429713520491,-0.26425391347,4,3,5,3
23,realAWSCloudwatch/elb_request_count_8c0756.csv,True,False,1.70143695613,1.70143695613,-1.13197620857,0,0,2,2
24,realAWSCloudwatch/grok_asg_anomaly.csv,False,False,-1.2449305497499998,-1.35493054975,-3.0,0,1,1,1
25,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,False,False,-2.11,-2.11,-2.0,1,1,0,0
26,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,False,False,-0.153893441657,1.68697265171,1.37466350305,0,1,1,2
27,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,False,False,1.58520562966,-0.244930549749,-2.0,0,0,2,1
28,realAdExchange/exchange-2_cpc_results.csv,True,False,-1.11,0.637598742377,-1.0,1,2,0,1
29,realAdExchange/exchange-2_cpm_results.csv,True,False,-2.22,-2.1090419311,-2.0,2,1,0,0
30,realAdExchange/exchange-3_cpc_results.csv,True,True,-1.28577937669,-1.16074187577,-3.0,1,0,1,1
31,realAdExchange/exchange-3_cpm_results.csv,True,True,0.7475774924359999,0.852953725967,-1.0,1,0,1,1
32,realAdExchange/exchange-4_cpc_results.csv,True,True,-1.25679051976,0.59641669022,-1.2280730601799998,1,1,1,2
33,realAdExchange/exchange-4_cpm_results.csv,True,False,-2.36900515855,-0.5181997622119999,-4.0,2,2,1,2
34,realKnownCause/ambient_temperature_system_failure.csv,False,False,1.5257259133399999,1.52035323652,-0.17886345046,0,0,2,2
35,realKnownCause/cpu_utilization_asg_misconfiguration.csv,False,False,0.513818877649,0.182989664985,0.953818877649,4,7,4,7
36,realKnownCause/ec2_request_latency_system_failure.csv,False,False,-3.33,-3.22,-3.0,3,2,0,0
37,realKnownCause/machine_temperature_system_failure.csv,False,True,-2.11667550382,-2.32493511927,-4.0,0,0,1,1
38,realKnownCause/nyc_taxi.csv,True,True,0.420153131249,4.15583882106,-3.18899239518,1,2,3,7
39,realKnownCause/rogue_agent_key_hold.csv,True,False,-0.162722354017,-0.498092959116,-2.22,1,4,1,1
40,realKnownCause/rogue_agent_key_updown.csv,True,False,-1.30301634442,-1.18575982814,-2.33,7,6,1,1
41,realTraffic/TravelTime_387.csv,True,True,-3.33,-1.93053430336,-3.44,3,3,0,1
42,realTraffic/TravelTime_451.csv,True,True,-1.11,-1.22,-1.0,1,2,0,0
43,realTraffic/occupancy_6005.csv,True,False,-1.21993754588,-1.0,-1.0,2,0,0,0
44,realTraffic/occupancy_t4013.csv,True,False,1.45671638877,-0.247492613289,-2.0,0,0,2,1
45,realTraffic/speed_6005.csv,True,False,0.44885590358099997,0.790020446736,-1.0,3,0,1,1
46,realTraffic/speed_7578.csv,True,False,1.31569439887,3.2832373464999995,1.0022669102,4,3,3,4
47,realTraffic/speed_t4013.csv,False,False,1.19109563979,1.73155089242,1.34509819302,5,2,3,4
48,realTweets/Twitter_volume_AAPL.csv,True,True,3.36564279593,1.31931219637,1.37935674881,2,6,7,5
49,realTweets/Twitter_volume_AMZN.csv,True,True,-4.0,-2.34839560202,-4.0,0,2,0,1
50,realTweets/Twitter_volume_CRM.csv,True,True,2.60763019618,0.715258199779,-3.0,0,0,3,2
51,realTweets/Twitter_volume_CVS.csv,True,True,0.624657308857,0.300332233279,0.624657308857,1,4,2,2
52,realTweets/Twitter_volume_FB.csv,True,True,1.19240910335,1.16419974462,-0.367465323371,5,5,3,2
53,realTweets/Twitter_volume_GOOG.csv,False,True,0.5612888585760001,0.594401981087,-1.19662965344,2,2,4,3
54,realTweets/Twitter_volume_IBM.csv,True,False,-0.473759760242,0.931584310248,-2.11,3,7,1,2
55,realTweets/Twitter_volume_KO.csv,True,True,-1.78290363947,2.24156859105,-1.37067066812,6,3,1,3
56,realTweets/Twitter_volume_PFE.csv,True,True,-4.11,-4.11,-4.0,1,1,0,0
57,realTweets/Twitter_volume_UPS.csv,True,False,1.47573434695,1.64044642484,0.657539429715,9,7,6,9
